DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1103/physrevlett.69.1629,10046273,,Self-organized critical forest-fire model.,"A forest-fire model is introduced which contains a lightning probability f. This leads to a self-organized critical state in the limit f\ensuremath{\rightarrow}0 provided that the time scales of tree growth and burning down of forest clusters are separated. We derive scaling laws and calculate all critical exponents. The values of the critical exponents are confirmed by computer simulations. For a two-dimensional system, we show that the forest density in the critical state assumes its minimum possible value, i.e., that energy dissipation is maximum.","Barbara Drossel,Barbara Drossel,Franz Schwabl,F. Schwabl",Physical Review Letters,1992
10.1103/physreve.50.1009,9962060,,Scaling laws and simulation results for the self-organized critical forest-fire model,"We discuss the properties of a self--organized critical forest--fire model which has been introduced recently. We derive scaling laws and define critical exponents. The values of these critical exponents are determined by computer simulations in 1 to 8 dimensions. The simulations suggest a critical dimension $d_c=6$ above which the critical exponents assume their mean--field values. Changing the lattice symmetry and allowing trees to be immune against fire, we show that the critical exponents are universal.","Siegfried Clar,Siegfried Clar,Barbara Drossel,Barbara Drossel,Franz Schwabl,F. Schwabl",Physical Review E,1994
10.1088/0305-4470/26/9/007,,,On a self-organized critical forest-fire model,"The author studies a forest-fire model introduced in a paper by Drossel and Schwabl (1992), by means of simulations with high statistics and very close to the critical point. In this way he can correct some statements made in that paper. In particular, he finds that the critical exponents are not the 'classical' ones proposed by Drossel and Schwabl. In spite of scaling laws with anomalous exponents, the typical states of the system are not 'critical' in the sense of being marginally stable locally.","Peter Grassberger,Peter Grassberger",Journal of Physics A,1993
10.1088/0953-8984/8/37/004,,,Forest fires and other examples of self-organized criticality,"We review the properties of the self-organized critical (SOC) forest-fire model. The paradigm of self-organized criticality refers to the tendency of certain large dissipative systems to drive themselves into a critical state independent of the initial conditions and without fine tuning of the parameters. After an introduction, we define the rules of the model and discuss various large-scale structures which may appear in this system. The origin of the critical behaviour is explained, critical exponents are introduced and scaling relations between the exponents are derived. Results of computer simulations and analytical calculations are summarized. The existence of an upper critical dimension and the universality of the critical behaviour under changes of lattice symmetry or the introduction of immunity are discussed. A survey of interesting modifications of the forest-fire model is given. Finally, several other important SOC models are briefly described.","Siegfried Clar,Siegfried Clar,Barbara Drossel,Barbara Drossel,Franz Schwabl,Franz Schwabl,F. Schwabl",Journal of Physics: Condensed Matter,1996
10.1103/physrevlett.71.2741,10054764,,"Statics of a ""self-organized"" percolation model.","A stochastic forest-fire'' model is considered. Sites are filled individually at a constant mean rate; also, sparks'' are dropped at a small rate [ital k], and instantaneously burn up the entire cluster they hit. I find [ital nontrivial] critical exponents in the self-organized critical limit [ital k][r arrow]0, contrary to earlier results of Drossel and Schwabl. Spatial correlation functions and a site occupancy correlation exponent are measured for the first time. Scaling relations, derived by analogy to uncorrelated percolation, are used extensively as numerical checks. Hyperscaling is violated in this system.","Christopher L. Henley,Christopher L. Henley",Physical Review Letters,1993
10.1103/physrevlett.71.2737,10054763,,Self-organized critical forest-fire model: Mean-field theory and simulation results in 1 to 6 dimenisons,"We argue that the critical forest-fire model (FFM) introduced by Drossel and Schwabl [Phys. Rev. Lett. 69, 1629 (1992)] is a critical branching process in the mean-field approximation where the number s of trees burned in a forest fire is power-law distributed with exponent τ s =5/2. The mean-field model of the FFM in finite dimension is the percolation model and, as in percolation, the upper critical dimension is 6. Simulations show that the FFM becomes increasingly percolationlike with increasing dimension d and is, within error bars, eully consistent with the percolation results when d≥3","Kim Christensen,Kim Christensen,Henrik Flyvbjerg,Henrik Flyvbjerg,Zeev Olami,Zeev Olami",Physical Review Letters,1993
10.1016/0375-9601(90)90451-s,,,A forest-fire model and some thoughts on turbulence,"Abstract   In the context of a forest-fire model we demonstrate critical scaling behavior in a “turbulent” non-equilibrium system. Energy is injected uniformly, and dissipated on a fractal. Critical exponents are estimated by means of a Monte Carlo renormalization- group calculation.","Per Bak,Per Bak,Kan Chen,Kan Chen,Kan Chen,Chao Tang,Chao Tang",Physics Letters A,1990
10.1016/s0378-4371(97)00002-2,,,Length scales and power laws in the two-dimensional forest-fire model,We re-examine a two-dimensional forest-fire model via Monte-Carlo simulations and show the existence of two length scales with different critical exponents associated with clusters and with the usual two-point correlation function of trees. We check resp. improve previously obtained values for other critical exponents and perform a first investigation of the critical behaviour of the slowest relaxational mode. We also investigate the possibility of describing the critical point in terms of a distribution of the global density. We find that some qualitative features such as a temporal oscillation and a power law of the cluster-size distribution can nicely be obtained from such a model that discards the spatial structure.,"A. Honecker,Andreas Honecker,Ingo Peschel,I. Peschel,Ingo Peschel",Physica A-statistical Mechanics and Its Applications,1997
10.1103/physrevlett.71.3739,10055061,,Exact results for the one-dimensional self-organized critical forest-fire model,"We present the analytic solution of the self-organized critical (SOC) forest-fire model in one dimension proving SOC in systems without conservation laws by analytic means. Under the condition that the system is in the steady state and very close to the critical point, we calculate the probability that a string of [ital n] neighboring sites is occupied by a given configuration of trees. The critical exponent describing the size distribution of forest clusters is exactly [tau]=2 and does not change under certain changes of the model rules. Computer simulations confirm the analytic results.","Barbara Drossel,Barbara Drossel,Siegfried Clar,Siegfried Clar,Franz Schwabl,F. Schwabl",Physical Review Letters,1993
,,,Introduction to percolation theory,"Preface to the Second Edition Preface to the First Edition Introduction: Forest Fires, Fractal Oil Fields, and Diffusion What is percolation? Forest fires Oil fields and fractals Diffusion in disordered media Coming attractions Further reading Cluster Numbers The truth about percolation Exact solution in one dimension Small clusters and animals in d dimensions Exact solution for the Bethe lattice Towards a scaling solution for cluster numbers Scaling assumptions for cluster numbers Numerical tests Cluster numbers away from Pc Further reading Cluster Structure Is the cluster perimeter a real perimeter? Cluster radius and fractal dimension Another view on scaling The infinite cluster at the threshold Further reading Finite-size Scaling and the Renormalization Group Finite-size scaling Small cell renormalization Scaling revisited Large cell and Monte Carlo renormalization Connection to geometry Further reading Conductivity and Related Properties Conductivity of random resistor networks Internal structure of the infinite cluster Multitude of fractal dimensions on the incipient infinite cluster Multifractals Fractal models Renormalization group for internal cluster structure Continuum percolation, Swiss-cheese models and broad distributions Elastic networks Further reading Walks, Dynamics and Quantum Effects Ants in the labyrinth Probability distributions Fractons and superlocalization Hulls and external accessible perimeters Diffusion fronts Invasion percolation Further reading Application to Thermal Phase Transitions Statistical physics and the Ising model Dilute magnets at low temperatures History of droplet descriptions for fluids Droplet definition for the Ising model in zero field The trouble with Kertesz Applications Dilute magnets at finite temperatures Spin glasses Further reading Summary Numerical Techniques","Dietrich Stauffer,Dietrich Stauffer,Dietrich Stauffer,Amnon Aharony,Amnon Aharony,Sidney Redner",,1985
10.1007/bf01029205,,,On a forest fire model with supposed self-organized criticality,"We study a stochastic forest fire model introduced by P. Baket al. as a model showing self-organized criticality. This model involves a growth parameterp, and the criticality is supposed to show up in the limitp→0. By simulating the model on much larger lattices, and with much smaller values ofp, we find that the correlations with longest range do not show a nontrivial critical phenomenon in this limit, though we cannot rule out percolation-like critical behavior on a smaller but still divergent length scale. In contrast, the model shows nontrivialdeterministic evolution over time scales ≫1/p in the limitp→0.","Peter Grassberger,Peter Grassberger,Holger Kantz,Holger Kantz",Journal of Statistical Physics,1991
10.1016/0378-4371(94)90426-x,,,Formation of space-time structure in a forest-fire model,"We present a general stochastic forest-fire model which shows a variety of different structures depending on the parameter values. The model contains three possible states per site (tree, burning tree, empty site) and three parameters (tree growth probability p, lightning probability f, and immunity g). We review analytic and computer simulation results for a quasideterministic state with spiral-shaped fire fronts, for a percolation-like phase transition and a self-organized critical state. Possible applications to excitable systems are discussed.","Barbara Drossel,Barbara Drossel,Franz Schwabl,Franz Schwabl,F. Schwabl",Physica A-statistical Mechanics and Its Applications,1994
10.1103/physrevlett.68.1244,10046116,,"Self-organized criticality in a continuous, nonconservative cellular automaton modeling earthquakes",We introduce a new nonconservative self-organized critical model. This model is equivalent to a quasistatic two-dimensional version of the Burridge-Knopoff spring-block model of earthquakes. Our model displays a robust power-law behavior. The exponent is not universal; rather it depends on the level of conservation. A dynamical phase transition from localized to nonlocalized behavior is seen as the level of conservation is increased. The model gives a good prediction of the Gutenberg-Richter law and an explanation to the variances in the observed {ital b} values.,"Zeev Olami,Zeev Olami,Hans Jacob S. Feder,Hans Jacob S. Feder,Kim Christensen,Kim Christensen",Physical Review Letters,1992
10.1103/physrevlett.75.2722,10059388,,Self-organized critical and synchronized states in a nonequilibrium percolation model.,"We introduce a nonequilibrium percolation model which shows a self-organized critical (SOC) state and several periodic states. In the SOC state, the correlation length diverges slower than the system size, and the corresponding exponent depends non universally on the parameter of the model. The periodic states contain an infinite cluster covering only part of the system.","Siegfried Clar,Siegfried Clar,Barbara Drossel,Barbara Drossel,Franz Schwabl,Franz Schwabl",Physical Review Letters,1995
10.1103/physrevlett.75.465,10060028,,Renormalization group approach to the critical behavior of the forest-fire model.,"We introduce a renormalization scheme for the one- and two-dimensional forest-fire model in order to characterize the nature of the critical state and its scale invariant dynamics. We show the existence of a relevant scaling field associated with a repulsive fixed point. This model is therefore critical in the usual sense because the control parameter has to be tuned to its critical value in order to get criticality. It turns out that this is not just the condition for a time scale separation. The critical exponents are computed analytically and we obtain v = 1.0, T = 1.0 and v = 0.65, T = 1.16, respectively, for the one- and two-dimensional cases, in very good agreement with numerical simulations.","Vittorio Loreto,Vittorio Loreto,L. Pietronero,Luciano Pietronero,Alessandro Vespignani,Alessandro Vespignani,Stefano Zapperi,Stefano Zapperi",Physical Review Letters,1995
10.1103/physrevlett.59.381,10035754,,Self-organized criticality: An explanation of the 1/ f noise,"We show that dynamical systems with spatial degrees of freedom naturally evolve into a self-organized critical point. Flicker noise, or 1/f noise, can be identified with the dynamics of the critical state. This picture also yields insight into the origin of fractal objects.","Per Bak,Per Bak,Chao Tang,Chao Tang,Kurt Wiesenfeld,Kurt Wiesenfeld",Physical Review Letters,1987
