Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"On a self-organized critical forest-fire model","The critical exponents in the forest-fire model proposed by Drossel and Schwabl (1992) are not the classical ones, and typical states of the system are not marginally stable locally.","P. Grassberger",1993,45,"The author studies a forest-fire model introduced in a paper by Drossel and Schwabl (1992), by means of simulations with high statistics and very close to the critical point. In this way he can correct some statements made in that paper. In particular, he finds that the critical exponents are not the 'classical' ones proposed by Drossel and Schwabl. In spite of scaling laws with anomalous exponents, the typical states of the system are not 'critical' in the sense of being marginally stable locally.","","Journal of Physics A","","10.1088/0305-4470/26/9/007","https://consensus.app/papers/selforganized-forestfire-model-grassberger/ff1487d3f45f5df7bcf34d62564d2dc2/"
"Self-organized critical forest-fire model.","The self-organized critical forest-fire model allows for maximum energy dissipation and minimum forest density in a two-dimensional system, with a lightning probability f.","Drossel, Schwabl",1992,613,"A forest-fire model is introduced which contains a lightning probability f. This leads to a self-organized critical state in the limit f\ensuremath{\rightarrow}0 provided that the time scales of tree growth and burning down of forest clusters are separated. We derive scaling laws and calculate all critical exponents. The values of the critical exponents are confirmed by computer simulations. For a two-dimensional system, we show that the forest density in the critical state assumes its minimum possible value, i.e., that energy dissipation is maximum.","","Physical review letters","1","10.1103/PHYSREVLETT.69.1629","https://consensus.app/papers/selforganized-forestfire-model-drossel/28901fba5cd558b0981f7360bb587bc2/"
"Exact results for the one-dimensional self-organized critical forest-fire model.","The one-dimensional self-organized critical forest-fire model accurately predicts the probability of a tree cluster occupying a string of neighboring sites, with the critical exponent being exactly [tau]=2 and not changing under certain changes in model rules.","Drossel, Clar., Schwabl",1993,58,"We present the analytic solution of the self-organized critical (SOC) forest-fire model in one dimension proving SOC in systems without conservation laws by analytic means. Under the condition that the system is in the steady state and very close to the critical point, we calculate the probability that a string of [ital n] neighboring sites is occupied by a given configuration of trees. The critical exponent describing the size distribution of forest clusters is exactly [tau]=2 and does not change under certain changes of the model rules. Computer simulations confirm the analytic results.","","Physical review letters","1","10.1103/PhysRevLett.71.3739","https://consensus.app/papers/results-forestfire-model-drossel/d35c41cefe8d5074bf57c05d68f2f4e9/"
"Scaling laws and simulation results for the self-organized critical forest-fire model.","The self-organized critical forest-fire model reveals scaling laws and universal critical exponents, with a critical dimension of 6 suggesting mean-field values are universal across various dimensions.","Clar., Drossel, Schwabl",1994,79,"We discuss the properties of a self--organized critical forest--fire model which has been introduced recently. We derive scaling laws and define critical exponents. The values of these critical exponents are determined by computer simulations in 1 to 8 dimensions. The simulations suggest a critical dimension $d_c=6$ above which the critical exponents assume their mean--field values. Changing the lattice symmetry and allowing trees to be immune against fire, we show that the critical exponents are universal.","","Physical review. E, Statistical physics, plasmas, fluids, and related interdisciplinary topics","","10.1103/PhysRevE.50.1009","https://consensus.app/papers/scaling-laws-simulation-results-selforganized-clar/bc770a0029e6514cadc617f4950c3f58/"
"The Self-Organized Critical Forest-Fire Model with Trees and Bushes","The self-organized critical forest-fire model with trees and bushes shows that bushes with higher growth rates remain critical, while tree self-organization is destroyed by quick bush fires, resulting in coupled equations for densities at the stationary point.","B. Strocka, J. Duarte, M. Schreckenberg",1995,1,"We present a forest-tire model with trees and bushes. Additional to the usual nearest-neighbour fire spreading bath populations con igmte each other at the sonne lattice site. Simulations in two dimensions show that the bushes with the higher growth rate remain critical while the Self.organization of trie trees is destroyed by quick bush fires which ignite the tree clusters before they can become large. A mean-field treatment leads to coupled equations for the densities at the stationary point, depending on the ratio k of the growth rates.","","Journal De Physique I","","10.1051/JP1:1995193","https://consensus.app/papers/selforganized-critical-forestfire-model-trees-bushes-strocka/90c9d879a2765ad68a9b636675bba469/"
"Universality in the One-Dimensional Self-Organized Critical Forest-Fire Model","The one-dimensional self-organized critical forest-fire model shows universality in its critical behavior, describing both forest cluster and fire size distributions with the same critical exponent as the nearest-neighbor model.","B. Drossel, S. Clar, F. Schwabl",1994,4,"Abstract We modify the rules of the self-organized critical forest-fire model in one dimension by allowing the fire to jum p over holes of ≤ k sites. An analytic calculation shows that not only the size distribution of forest clusters but also the size distribution of fires is characterized by the same critical exponent as in the nearest-neighbor model, i.e. the critical behavior of the model is universal. Computer simulations confirm the analytic results.","","Zeitschrift für Naturforschung A","","10.1515/zna-1994-0907","https://consensus.app/papers/universality-onedimensional-selforganized-critical-drossel/7c219d9decfb5ee7ab4262c8da51b119/"
"On the Asymptotic Density in a One-Dimensional Self-Organized Critical Forest-Fire Model","The density of vacant sites in a one-dimensional self-organized critical forest-fire model is of order 1/log (1/) after time of order log (1/), regardless of initial configuration.","J. Berg, A. Járai",2003,23,"AbstractConsider the following forest-fire model where the possible locations of trees are the sites of ℤ. Each site has two possible states: ‘vacant’ or ‘occupied’. Vacant sites become occupied at rate 1. At each site ignition (by lightning) occurs at ignition rate λ, the parameter of the model. When a site is ignited, its occupied cluster becomes vacant instantaneously.
In the literature similar models have been studied for discrete time. The most interesting behaviour occurs when the ignition rate approaches 0. It has been stated by Drossel, Clar and Schwabl (1993) that then (in our notation) the density of vacant sites (at stationarity) is of order 1/ log (1/λ). Their argument uses a ‘scaling ansatz’ and is not rigorous. We give a rigorous and mathematically more natural proof for our version of the model, and point out how it can be modified for the model studied by Drossel et al. Our proof shows that regardless of the initial configuration, already after time of order log (1/λ) the density is of the above mentioned order 1/ log (1/λ). We also obtain bounds on the cluster size distribution, showing that the scaling ansatz of Drossel et al. needs correction.","","Communications in Mathematical Physics","1","10.1007/S00220-004-1200-X","https://consensus.app/papers/density-onedimensional-selforganized-critical-berg/d030eccfad2c5772aeaa29bf6e7d2e27/"
"PHASE TRANSITIONS IN A FOREST-FIRE MODEL","The forest-fire model exhibits three phases, with the self-organized critical model showing critical behavior and spiral waves, followed by clustering of trees and fire burning at the edges of clusters.","S. Clar, K. Schenk, F. Schwabl",1997,10,"We investigate a forest-fire model with the density of empty sites as a control parameter. The model exhibits three phases, separated by one first-order phase transition and one ``mixed'' phase transition which shows critical behavior on only one side and hysteresis. The critical behavior is found to be that of the self-organized critical forest-fire model [B. Drossel and F. Schwabl, Phys. Rev. Lett. 69, 1629 (1992)], whereas in the adjacent phase one finds the spiral waves of the Bak, Chen, and Tang forest-fire model [P. Bak, K. Chen, and C. Tang, Phys. Lett. A 147, 297 (1990)]. In the third phase one observes clustering of trees with the fire burning at the edges of the clusters. The relation between the density distribution in the spiral state and the percolation threshold is explained and the implications for stationary states with spiral waves in arbitrary excitable systems are discussed. Furthermore, we comment on the possibility of mapping self-organized critical systems onto ``ordinary'' critical systems.","","Physical Review E","1","10.1103/PhysRevE.55.2174","https://consensus.app/papers/phase-transitions-forestfire-model-clar/422a561ef00355a48c571c2af17414d9/"
"Self-organized critical forest-fire model: Mean-field theory and simulation results in 1 to 6 dimenisons.","The critical forest-fire model (FFM) is a self-organized critical branching process in the mean-field approximation, with increasing percolationlike behavior as dimension d increases.","Christensen, Flyvbjerg, Olami",1993,68,"We argue that the critical forest-fire model (FFM) introduced by Drossel and Schwabl [Phys. Rev. Lett. 69, 1629 (1992)] is a critical branching process in the mean-field approximation where the number s of trees burned in a forest fire is power-law distributed with exponent τ s =5/2. The mean-field model of the FFM in finite dimension is the percolation model and, as in percolation, the upper critical dimension is 6. Simulations show that the FFM becomes increasingly percolationlike with increasing dimension d and is, within error bars, eully consistent with the percolation results when d≥3","","Physical review letters","1","10.1103/PHYSREVLETT.71.2737","https://consensus.app/papers/selforganized-forestfire-model-meanfield-theory-christensen/4fc6a6e920a250e89e922a0241343246/"
"PHASE TRANSITIONS IN A FOREST-FIRE MODEL","The forest-fire model exhibits three phases, with the self-organized critical forest-fire model showing critical behavior and spiral waves, followed by clustering of trees and fire burning at the edges of clusters.","Siegfried  Clar, Klaus  Schenk, Franz  Schwabl",1997,10,"We investigate a forest-fire model with the density of empty sites as a control parameter. The model exhibits three phases, separated by one first-order phase transition and one ``mixed'' phase transition which shows critical behavior on only one side and hysteresis. The critical behavior is found to be that of the self-organized critical forest-fire model [B. Drossel and F. Schwabl, Phys. Rev. Lett. 69, 1629 (1992)], whereas in the adjacent phase one finds the spiral waves of the Bak, Chen, and Tang forest-fire model [P. Bak, K. Chen, and C. Tang, Phys. Lett. A 147, 297 (1990)]. In the third phase one observes clustering of trees with the fire burning at the edges of the clusters. The relation between the density distribution in the spiral state and the percolation threshold is explained and the implications for stationary states with spiral waves in arbitrary excitable systems are discussed. Furthermore, we comment on the possibility of mapping self-organized critical systems onto ``ordinary'' critical systems.","","Physical Review E","1","10.1103/PhysRevE.55.2174","https://consensus.app/papers/phase-transitions-forestfire-model-clar/5f7fedd1aa0b57559e6d4bfca148c230/"
